Row,State,DivisionNm,Year1,Party1,Year2,Party2
98,VIC,Macnamara,2010,ALP,2013,ALP
99,NSW,Macquarie,2010,LP,2013,LP
100,SA,Makin,2010,ALP,2013,ALP
101,VIC,Mallee,2010,NP,2013,NP
102,QLD,Maranoa,2010,LNQ,2013,LNP
103,VIC,Maribyrnong,2010,ALP,2013,ALP
104,SA,Mayo,2010,LP,2013,LP
105,VIC,McEwen,2010,ALP,2013,ALP
106,NSW,McMahon,2010,ALP,2013,ALP
107,QLD,McPherson,2010,LNQ,2013,LNP
108,VIC,Melbourne,2010,GRN,2013,GRN
109,VIC,Menzies,2010,LP,2013,LP
110,NSW,Mitchell,2010,LP,2013,LP
111,VIC,Monash,2010,LP,2013,LP
112,QLD,Moncrieff,2010,LNQ,2013,LNP
113,WA,Moore,2010,LP,2013,LP
114,QLD,Moreton,2010,ALP,2013,ALP
115,NSW,New England,2010,IND,2013,NP
116,NSW,Newcastle,2010,ALP,2013,ALP
117,VIC,Nicholls,2010,LP,2013,LP
118,WA,O'Connor,2010,NP,2013,LP
119,QLD,Oxley,2010,ALP,2013,ALP
120,NSW,Page,2010,ALP,2013,NP
121,NSW,Parkes,2010,NP,2013,NP
122,NSW,Parramatta,2010,ALP,2013,ALP
123,NSW,Paterson,2010,LP,2013,LP
124,WA,Pearce,2010,LP,2013,LP
125,WA,Perth,2010,ALP,2013,ALP
126,QLD,Petrie,2010,ALP,2013,LNP
127,QLD,Rankin,2010,ALP,2013,ALP
128,NSW,Reid,2010,ALP,2013,LP
129,NSW,Richmond,2010,ALP,2013,ALP
130,NSW,Riverina,2010,NP,2013,NP
131,NSW,Robertson,2010,ALP,2013,LP
132,QLD,Ryan,2010,LNQ,2013,LNP
133,VIC,Scullin,2010,ALP,2013,ALP
134,NSW,Shortland,2010,ALP,2013,ALP
135,NT,Solomon,2010,CLP,2013,CLP
136,SA,Spence,2010,ALP,2013,ALP
137,SA,Sturt,2010,LP,2013,LP
138,WA,Swan,2010,LP,2013,LP
139,NSW,Sydney,2010,ALP,2013,ALP
140,WA,Tangney,2010,LP,2013,LP
141,VIC,Wannon,2010,LP,2013,LP
142,NSW,Warringah,2010,LP,2013,LP
143,NSW,Watson,2010,ALP,2013,ALP
144,NSW,Wentworth,2010,LP,2013,LP
145,NSW,Werriwa,2010,ALP,2013,ALP
146,NSW,Whitlam,2010,ALP,2013,ALP
147,QLD,Wide Bay,2010,LNQ,2013,LNP
148,VIC,Wills,2010,ALP,2013,ALP
149,QLD,Wright,2010,LNQ,2013,LNP
1,SA,Adelaide,2013,ALP,2016,ALP
2,VIC,Aston,2013,LP,2016,LP
