StateAb,GivenNm,Surname,PartyNm,PartyAb,Year
QLD,Matt,CANAVAN,Liberal National Party of Queensland,LNP,2022
QLD,Penny,ALLMAN-PAYNE,Queensland Greens,GRN,2022
QLD,Pauline,HANSON,Pauline Hanson's One Nation,ON,2022
QLD,Anthony,CHISHOLM,Australian Labor Party,ALP,2022
SA,Simon,BIRMINGHAM,Liberal,LP,2022
SA,Penny,WONG,Australian Labor Party,ALP,2022
SA,Andrew,McLACHLAN,Liberal,LP,2022
SA,Don,FARRELL,Australian Labor Party,ALP,2022
SA,Barbara,POCOCK,The Greens,GRN,2022
SA,Kerrynne,LIDDLE,Liberal,LP,2022
TAS,Jonno,DUNIAM,Liberal,LP,2022
TAS,Anne,URQUHART,Australian Labor Party,ALP,2022
TAS,Peter,WHISH-WILSON,The Greens,GRN,2022
TAS,Helen,POLLEY,Australian Labor Party,ALP,2022
TAS,Wendy,ASKEW,Liberal,LP,2022
TAS,Tammy,TYRRELL,Jacqui Lambie Network,JLN,2022
VIC,Sarah,HENDERSON,Liberal,LP,2022
VIC,Linda,WHITE,Australian Labor Party,ALP,2022
VIC,Bridget,McKENZIE,The Nationals,NP,2022
VIC,Jana,STEWART,Australian Labor Party,ALP,2022
VIC,Lidia,THORPE,The Greens,GVIC,2022
VIC,Ralph,BABET,United Australia Party,UAPP,2022
WA,Sue,LINES,Australian Labor Party,ALP,2022
WA,Michaelia,CASH,Liberal,LP,2022
WA,Glenn,STERLE,Australian Labor Party,ALP,2022
WA,Dean,SMITH,Liberal,LP,2022
WA,Dorinda,COX,The Greens (WA),GRN,2022
WA,Fatima,PAYMAN,Australian Labor Party,ALP,2022
ACT,Katy,GALLAGHER,Australian Labor Party,ALP,2019
ACT,Zed,SESELJA,Liberal,LP,2019
NSW,Hollie,HUGHES,Liberal,LP,2019
NSW,Tony,SHELDON,Labor,ALP,2019
NSW,Andrew,BRAGG,Liberal,LP,2019
NSW,Tim,AYRES,Labor,ALP,2019
NSW,Perin,DAVEY,The Nationals,NP,2019
NSW,Mehreen,FARUQI,The Greens,GRN,2019
NT,Malarndirri,McCARTHY,Australian Labor Party (Northern Territory) Branch,ALP,2019
NT,Sam,McMAHON,Country Liberals (NT),CLP,2019
